epoch,loss
1,1.045809119939804
2,1.0828184187412262
3,0.8371503949165344
4,0.9156322777271271
5,0.8854157328605652
6,0.809796929359436
7,0.7370869815349579
8,0.6993383169174194
9,0.652899444103241
10,0.7717891335487366
11,0.6006352305412292
12,0.6597086489200592
13,0.6016878485679626
14,0.6397774517536163
15,0.6074762344360352
16,0.5654515624046326
17,0.5295042842626572
18,0.5449109077453613
19,0.5628273785114288
20,0.5567874908447266
21,0.5341678559780121
22,0.5537696778774261
23,0.4899173974990845
24,0.5146591812372208
25,0.5469056069850922
26,0.5207698196172714
27,0.5788859874010086
28,0.45810551941394806
29,0.4881279915571213
30,0.5192839801311493
31,0.4668339937925339
32,0.4674675166606903
33,0.4403015971183777
34,0.4306579530239105
35,0.4404932111501694
36,0.41432707011699677
37,0.45461373031139374
38,0.4148867279291153
39,0.47031469643116
40,0.4309767037630081
41,0.4664236158132553
42,0.4219195693731308
43,0.41971224546432495
44,0.37433965504169464
45,0.4216663986444473
46,0.3878514766693115
47,0.38020747900009155
48,0.3650287389755249
49,0.35822056233882904
50,0.3524116426706314
51,0.39092645049095154
52,0.3692954182624817
53,0.3555202931165695
54,0.3189564049243927
55,0.36473920941352844
56,0.3336440175771713
57,0.34291972219944
58,0.32832714915275574
59,0.34431029856204987
60,0.339491069316864
61,0.3594385087490082
62,0.3353439271450043
63,0.3251102417707443
64,0.30363868176937103
65,0.2915811091661453
66,0.29663680493831635
67,0.2925041764974594
68,0.30072925984859467
69,0.3047082871198654
70,0.28326037526130676
71,0.2711362987756729
72,0.31831857562065125
73,0.31236493587493896
74,0.26006270200014114
75,0.2982947677373886
76,0.25490783900022507
77,0.27341943979263306
78,0.265625923871994
79,0.274558424949646
80,0.29321712255477905
81,0.2539810687303543
82,0.24776700884103775
83,0.2553456723690033
84,0.2701067328453064
85,0.25739586353302
86,0.2635582834482193
87,0.2405906766653061
88,0.24336505681276321
89,0.22707688808441162
90,0.2519238740205765
91,0.22273723036050797
92,0.20816580206155777
93,0.23551243543624878
94,0.19968794286251068
95,0.21616411954164505
96,0.21787002682685852
97,0.22141899168491364
98,0.20839955657720566
99,0.21358714252710342
100,0.1992715448141098
101,0.21463576704263687
102,0.1841389611363411
103,0.1957269087433815
104,0.18815967440605164
105,0.1930030658841133
106,0.19395486265420914
107,0.19271385669708252
108,0.16776056587696075
109,0.17839336395263672
110,0.22774304449558258
111,0.1916140913963318
112,0.20507829636335373
113,0.18025434762239456
114,0.1762544959783554
115,0.2022973597049713
116,0.20968957990407944
117,0.18108616769313812
118,0.15846474468708038
119,0.1850670799612999
120,0.1693590059876442
121,0.16924096643924713
122,0.18827947974205017
123,0.17472223192453384
124,0.15259286016225815
125,0.16558009386062622
126,0.1663704290986061
127,0.14729586243629456
128,0.158566415309906
129,0.16339793801307678
130,0.14826254546642303
131,0.16605136543512344
132,0.16651776432991028
133,0.1424247846007347
134,0.14650680869817734
135,0.13384496793150902
136,0.14858940988779068
137,0.15117651224136353
138,0.135577492415905
139,0.13664226233959198
140,0.15955990552902222
141,0.12868180125951767
142,0.11722857877612114
143,0.12672275304794312
144,0.147734135389328
145,0.13517556339502335
146,0.1312999129295349
147,0.1277957707643509
148,0.12157849222421646
149,0.1371895708143711
150,0.10606081783771515
