model,roc_auc,average_precision,balanced_accuracy,f1
hist_gradient_boosting,0.9989795918367347,0.9976190476190478,0.9647959183673469,0.95
logistic_regularized,0.9877551020408164,0.9694827914696842,0.9295918367346938,0.9
random_forest,0.9908163265306122,0.9728925986723975,0.8647959183673469,0.8333333333333334
