permutation,roc_auc,average_precision
0,0.5102040816326531,0.3618922035824091
1,0.6653061224489797,0.4270948839009853
2,0.6438775510204081,0.3895241066150161
3,0.5255102040816327,0.37060142089892095
4,0.5571428571428572,0.3291373196970618
5,0.613265306122449,0.3960470189650029
6,0.5836734693877551,0.37092249678184724
7,0.5510204081632653,0.3266850534365687
8,0.47142857142857153,0.2733604693200572
9,0.5204081632653061,0.3308043916495049
10,0.4030612244897959,0.30938095924584985
11,0.4387755102040817,0.25313085198227275
12,0.29285714285714287,0.21142918921241227
13,0.6234693877551021,0.4286291860072178
14,0.5428571428571428,0.3668523097273884
15,0.5510204081632654,0.33547336644504566
16,0.46326530612244904,0.31082122128905526
17,0.42857142857142855,0.29174236569089707
18,0.44489795918367353,0.2684563163460912
19,0.6142857142857142,0.397198716043055
20,0.4061224489795918,0.264863523793856
21,0.4989795918367347,0.40627374334243666
22,0.6224489795918366,0.40818190918558567
23,0.6183673469387755,0.43730100954265294
24,0.6448979591836734,0.375344081187303
25,0.25510204081632654,0.2046609726024977
26,0.6193877551020408,0.3943210407806376
27,0.33367346938775505,0.23620388238708184
28,0.4846938775510204,0.28499938374057754
29,0.29285714285714287,0.21187463951268232
30,0.36632653061224485,0.2576934564479411
31,0.5489795918367346,0.310522841293988
32,0.55,0.3494203911709968
33,0.4897959183673469,0.2771958524944873
34,0.3755102040816326,0.2744256532718883
35,0.486734693877551,0.30198489447019655
36,0.326530612244898,0.22060571761785053
37,0.45816326530612245,0.2711937510085285
38,0.39081632653061227,0.2499644532175411
39,0.523469387755102,0.33232571629177615
40,0.5275510204081633,0.32995214828396935
41,0.5581632653061225,0.4133386408161954
42,0.5122448979591837,0.3729989790444792
43,0.7193877551020408,0.4797329622216192
44,0.6255102040816326,0.373725523941626
45,0.5448979591836735,0.31673832031171706
46,0.6051020408163265,0.4668001960850576
47,0.31020408163265306,0.2189065691947352
48,0.32346938775510203,0.23313171884877945
49,0.41938775510204085,0.25152264495176757
