model,mean_train_auc,mean_test_auc,mean_auc_gap,max_auc_gap,mean_test_balanced_accuracy,mean_test_f1,mean_test_average_precision,mean_test_brier
hist_gradient_boosting,1.0,1.0,0.0,0.0,0.9650000000000001,0.9492063492063492,1.0,0.012587215727820488
logistic_regularized,1.0,0.9949999999999999,0.004999999999999982,0.02499999999999991,0.93,0.8984126984126984,0.99,0.04149817946329353
random_forest,1.0,0.9949999999999999,0.004999999999999982,0.02499999999999991,0.865,0.8158730158730159,0.99,0.07647519115688826
