model,accuracy,balanced_accuracy,f1,brier,roc_auc,average_precision
logistic_elasticnet,0.9855072463768116,0.9897959183673469,0.975609756097561,0.017020198255898206,0.9989795918367347,0.9976190476190478
random_forest,0.9130434782608695,0.8647959183673469,0.8333333333333334,0.07632996534798706,0.9918367346938776,0.9767387525185514
hist_gradient_boosting,0.9855072463768116,0.975,0.9743589743589743,0.01869251424692677,0.9989795918367347,0.9976190476190476
